Disease,Description
Cervical spondylosis,"Servikal spondiloz, boynunuzdaki omurilik disklerini etkileyen yaşa bağlı aşınma ve yıpranma için genel bir terimdir.Diskler kuruyup küçüldükçe, kemiklerin kenarları boyunca kemik çıkıntıları (kemik mahmuzları) dahil olmak üzere osteoartrit belirtileri gelişir."
Hyperthyroidism,"Hipertiroidizm (aşırı aktif tiroid), tiroid beziniz tiroksin hormonunu çok fazla ürettiğinde ortaya çıkar.Hipertiroidizm vücudunuzun metabolizmasını hızlandırarak istemsiz kilo kaybına ve hızlı veya düzensiz kalp atışına neden olabilir."
Urinary tract infection,"İdrar yolu enfeksiyonu: Böbrek, üreter, mesane veya üretranın enfeksiyonu.Kısaltılmış UTI.İdrar yolu enfeksiyonu geçiren herkeste semptomlar görülmez ancak yaygın semptomlar arasında sık idrara çıkma isteği ve idrar yaparken ağrı veya yanma yer alır."
Varicose veins,"Genişlemiş ve bükülmüş, sıklıkla deriden açıkça görülebilen şişkin, mavi bir kan damarı gibi görünen bir damar.Varisli damarlar en çok yaşlı yetişkinlerde, özellikle de kadınlarda görülür ve özellikle bacaklarda görülür."
AIDS,"Edinilmiş immün yetmezlik sendromu (AIDS), insan immün yetmezlik virüsünün (HIV) neden olduğu kronik, potansiyel olarak yaşamı tehdit eden bir durumdur.HIV, bağışıklık sisteminize zarar vererek vücudunuzun enfeksiyon ve hastalıklarla mücadele etme becerisine müdahale eder."
Paralysis (brain hemorrhage),"İntraserebral kanama (ICH), kanın aniden beyin dokusuna girerek beyninize zarar vermesidir.Semptomlar genellikle ICH sırasında aniden ortaya çıkar.Bunlar arasında özellikle vücudunuzun bir tarafında baş ağrısı, halsizlik, kafa karışıklığı ve felç bulunur."
Typhoid,"Salmonella typhi bakterisi enfeksiyonunun neden olduğu ateşle karakterize akut bir hastalıktır.Tifo ateşi, ateş, baş ağrısı, kabızlık, halsizlik, üşüme ve kas ağrısıyla sinsi bir başlangıca sahiptir.İshal nadirdir ve kusma genellikle şiddetli değildir."
Hepatitis B,"Hepatit B karaciğerinizin bir enfeksiyonudur.Organda yara izine, karaciğer yetmezliğine ve kansere neden olabilir.Tedavi edilmezse ölümcül olabilir.İnsanlar hepatit B virüsü taşıyan birinin kanı, açık yaraları veya vücut sıvılarıyla temas ettiğinde yayılır."
Fungal infection,"İnsanlarda mantar enfeksiyonları, istilacı bir mantar vücudun bir alanını ele geçirdiğinde ve bağışıklık sisteminin başa çıkamayacağı kadar fazla olduğunda ortaya çıkar.Mantarlar havada, toprakta, suda ve bitkilerde yaşayabilir.İnsan vücudunda doğal olarak yaşayan bazı mantarlar da vardır.Birçok mikrop gibi yararlı mantarlar ve zararlı mantarlar vardır."
Hepatitis C,"Genellikle kan nakli (nadiren), hemodiyaliz ve iğne batması yoluyla yayılan hepatit C virüsüne (HCV) bağlı karaciğer iltihabı.Hepatit C'nin karaciğere verdiği hasar siroz ve komplikasyonlarının yanı sıra kansere de yol açabilir."
Migraine,"Migren, genellikle başın bir tarafında şiddetli zonklama ağrısına veya nabız atış hissine neden olabilir.Genellikle bulantı, kusma ve ışığa ve sese karşı aşırı hassasiyet eşlik eder.Migren atakları saatlerce hatta günlerce sürebilir ve ağrı o kadar şiddetli olabilir ki günlük aktivitelerinizi etkileyebilir."
Bronchial Asthma,"Bronşiyal astım, akciğerlerin hava yolunun şişmesine ve daralmasına neden olan tıbbi bir durumdur.Bu şişme nedeniyle hava yolu aşırı mukus üreterek nefes almayı zorlaştırır, bu da öksürüğe, kısa nefese ve hırıltıya neden olur.Hastalık kroniktir ve günlük çalışmayı engeller."
Alcoholic hepatitis,"Alkolik hepatit, uzun süreli aşırı alkol tüketiminin neden olduğu, karaciğerin hastalıklı, inflamatuar bir durumudur.Aynı zamanda aşırı içki içmek ve devam eden alkol kullanımıyla da daha da kötüleşir.Bu durumu geliştirirseniz alkol almayı bırakmalısınız"
Jaundice,"Safra pigmenti bilirubinin anormal derecede yüksek kan seviyeleri nedeniyle derinin ve skleranın (gözlerin beyazları) sarı lekelenmesi.Sararma diğer dokulara ve vücut sıvılarına da yayılır.Sarılık bir zamanlar yalnızca bir kralın dokunuşunun iyileştirebileceği inancıyla ""morbus regius"" (kraliyet hastalığı) olarak adlandırılıyordu."
Hepatitis E,Hepatit E virüsü (HEV) enfeksiyonunun neden olduğu nadir bir karaciğer iltihabı şekli.Enfekte bir kişi tarafından kullanılan yiyecek veya içecekler yoluyla veya dışkı maddesinin suya karışabileceği bölgelerdeki enfekte su kaynakları yoluyla bulaşır.Hepatit E kronik karaciğer hastalığına neden olmaz.
Dengue,"Bir flavivirüsün (Flavivirüs cinsinden Dang virüsü türü) neden olduğu, aedes sivrisinekleri tarafından iletilen ve baş ağrısı, şiddetli eklem ağrısı ve döküntü ile karakterize edilen akut bulaşıcı bir hastalık.- kırık kemik ateşi, dang humması olarak da adlandırılır."
Hepatitis D,"Hepatit delta virüsü olarak da bilinen Hepatit D, karaciğerin iltihaplanmasına neden olan bir enfeksiyondur.Bu şişlik karaciğer fonksiyonunu bozabilir ve karaciğerde yara izi ve kanser dahil uzun vadeli karaciğer sorunlarına neden olabilir.Bu duruma hepatit D virüsü (HDV) neden olur."
Heart attack,Kan akışının kesilmesi nedeniyle kalp kasının ölümü.Kan akışının kaybı genellikle kalp kasına kan sağlayan arterlerden biri olan koroner arterin tamamen tıkanmasından kaynaklanır.
Pneumonia,"Pnömoni akciğerlerden birinde veya her ikisinde meydana gelen bir enfeksiyondur.Bakteriler, virüsler ve mantarlar buna neden olur.Enfeksiyon akciğerlerinizdeki alveol adı verilen hava keselerinde iltihaplanmaya neden olur.Alveoller sıvı veya irinle dolar ve nefes almayı zorlaştırır."
Arthritis,"Artrit, bir veya daha fazla ekleminizin şişmesi ve hassasiyetidir.Artritin ana semptomları, genellikle yaşla birlikte kötüleşen eklem ağrısı ve sertliğidir.En yaygın artrit türleri osteoartrit ve romatoid artrittir."
Gastroenteritis,"Gastroenterit, sindirim sisteminin, özellikle midenin ve kalın ve ince bağırsakların iltihaplanmasıdır.Viral ve bakteriyel gastroenterit, ishal, karın krampları, bulantı ve kusma semptomlarıyla ilişkili bağırsak enfeksiyonlarıdır."
Tuberculosis,"Tüberküloz (TB), genellikle Mycobacterium tuberculosis (MTB) bakterisinin neden olduğu bulaşıcı bir hastalıktır.Tüberküloz genel olarak akciğerleri etkilemekle birlikte vücudun diğer kısımlarını da etkileyebilir.Çoğu enfeksiyon hiçbir belirti göstermez, bu durumda gizli tüberküloz olarak bilinir."
